№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
1,de di4 di2,的,,суффикс прилагательного; суффикс принадлежности,суффикс прилагательного; суффикс принадлежности,холодильник,буратино,пчела,,,,
2,yi1,一,,"один 1. как только, 2. одинаковый",один; единица; первый,копье,,,,,ключ копье,
3,shi4,是,,есть; быть; являться,есть; быть; являться,солнце,жена Мазая,,,,"Под жарким солнцем, разомлевшая жена Мазая, в черной (4 тон) просмоленной лодке, конечно, ответит «ДА», даже на самую пошлую вашу просьбу. Как хорошо, что ЕСТЬ такая жена у Мазая. Значит, БЫТЬ ему рогатым.  (глагол связка между подлежащим и сказуемым) ",
4,bu4,不,,отрицательная частица не; нет; без,отрицательная частица не; нет; без; анти; похоже на 礻,копье,стрела,,,,"Иероглиф значит «НЕТ»  Копье, а в него уперлась стрелочка, черная (4 тон) стрелочка. Это значит НЕТ!",
5,le liao3,了,,глагольный суффикс завершенности действия; понимать,глагольный суффикс завершенности действия,посох,,,,,,
6,ren2,人,,"человек, персона
",,человек,,,,,"Человек и есть ЧЕЛОВЕК, ПЕРСОНА. Сделанный из красного (2 тон) мяса и крови",
7,zai4,在,,"1. у, в, около 
2. быть, находится, жить",,кузнечик,росток,,,,"Сверчок ОКОЛО ростка из земли, дежурил каждую ночь (4 тон), заботился и поливал его. Сверчок НАХОДИЛСЯ, ЖИЛ у этого ростка более года. Но в один ужасный день, У того завяли листья,  и он почернел (4 тон)",
8,wo3,我,,я,,рука,тхэквондист,,,,"Я в своей руке держу листик, а таэквондоист пытается его сбить ногой. Только Я и еще раз Я мог решиться на такой опасный трюк. У МЕНЯ уже вся рука в синяках (3 тон) от таких трюков.",
9,you3,有,,иметь,иметь(ся); иметь в наличии; обладать; есть,катана,нефертити,,,,"Нефертити вдруг схватила доисторическую катану, чтобы продемонстрировать, что ей всё ИМЕТЬ по нраву, особенно если предметы вдруг станут синими (3 тон).",1
10,zhong1 zhong4,中,,центр; середина; внутри; попасть в цель,центр; середина; центральный; средний,стрекоза,,,,,"Если стрекозу разрезать скальпелем прямо по ЦЕНТРУ, СЕРЕДИНЕ из нее полезут зеленые (1 тон) кишки",
11,zhe4 zhei4,这,這,"это, этот","это, этот",маркитанка,строитель,,,,"Маркитантка прогуливалась по улицы, как вдруг ей на подол бросился строитель с воплем ""дэушка, дауай зделам ЭТО"". На что она обозвала его чернож*пым (4 тон), от чего строитель аж почернел от злости.",1
12,da4 dai4,大,,"большой, огромный, великий",1) большой; 2) сильно значимый,великан,,,,,"Великан был ОГРОМНЫМ, ВЕЛИКИМ и БОЛЬШИМ,  но самое странное, что он был негром (4 тон).",
13,guo2,国,國,"страна, нация",государство; страна; государственный; национальный,ограда,король,корона (пчела),,,"Король выстроил себе ограду, это теперь его СТРАНА и внутри нее играет в футбол своей медной (2 тон) короной",
14,shang4,上,,"1. вверх, сверху 
2. предыдущий",верх; верхний; сверху,пограничник без собаки,,,,,"Пограничник без собаки, смотрит ВВЕРХ, и ждет, что СВЕРХУ к нему прилетит его верный черный (4 тон) пес Мухтар, который погиб в ПРЕДЫДУЩЕМ году.",
15,ge4 ,个,個,универсальное сч. сл. (штука),универсальное сч. сл. (штука),человек,кол,,,,"Человек посадили на кол. Кол это специальная такая ШТУКА, на которую не нужно садиться. А кол был под напряжением и человек еще и обгорел (4 тон)",
16,lai2,来,來,приходить; прибывать; приезжать,приходить; прибывать; приезжать,росток,копье,2 мал. предмета,,,"Я ПРИХОЖУ вновь и вновь к этому чуду природы - кто-то с размаху запустил копье в дерево(росток), и оно проткнуло его насквозь на самой вершине. В результате с 2 концов копья капает красная (2 тон) смола.",1
17,ta1,他,,он; его,он; его,человек,рыбак,,,,Худенький и злой зеленый (1 тон) человечек поломал у рыбака удочку (перепил наш рыбак). Но ОН ЕГО запомнил и никогда ЕМУ этого не простит.,
18,wei2,为,為,"1. для, ради 
2. делать, действовать, поступать",1) делать; действовать; поступать; 2) для,калашников,пчела,пчела,,,"Автомат Калашникова вокруг него летают две пчелки. Это я пришел разорять их улей. За то, что меня укусила пчела. Разнесу его в клочья, из Калашникова. Я начинаю стрелять, но эти маленькие и храбрые пчелки бросаются под огонь. Они ДЕЙСТВУЮТ так РАДИ своей королевы. Они жертвуют собой.  Все ДЛЯ своего улья. Они обгорают (4 тон) и падают к моим ногам. Что же мне теперь ДЕЛАТЬ, ведь я не хотел никого убивать ?",
19,dao4,到,,"1. до, к, по направлению 
2. наступить, настать, достигать, прибывать","доходить, достигать; прибывать; приходить; наступать (о времени)",скелет рыбы,меч,,,,"Мечом нужно нарубить скелет рыбки К, ПО НАПРАВЛЕНИЮ к ее черепу. Как только меч его ДОСТИГНЕТ, сразу же потечет дурно пахнущая, черная (4 тон) рыбья мозговая жидкость. Которая будет ПРИБЫВАТЬ, пока не зальет все на этом свете. Тогда и НАСТУПИТ конец света.",
20,di4,地,,"земля, (суффикс наречий)","1) земля, почва, поля; 2) суффикс наречий",росток,рыбак,,,,"У рыбака сломалась удочка (радикал «рыбак» и удочка у него перечеркнута), он не растерялся, вырвал росток из ЗЕМЛИ. Обуглил (4 тон) его и удочка снова готова. Хвала матушке ЗЕМЛЕ",
21,he2,和,,"1. вместе, с  
2. гармония, мягкий, добрый  
3. [huo4] мешать, смешивать",1) мирный; дружественный; мир; согласие; 2) и,дама,рот,,,,"Серьезная дама(пиковая) впервые накрасила свой рот ярко красной (2 тон) помадой, до этого она совсем не пользовалась косметикой.   И сразу же стала ДОБРОЙ, и МЯГКОЙ. И зажила в ГАРМОНИИ ВМЕСТЕ СО всем миром. С тех пор она всегда с радостью СМЕШИВАЕТ все цвета помады и мажет ее на себя.",
22,shi2,时,時,"время, час, период",время; момент времени,солнце,кран,,,,"Солнце светило на огромный ярко начищенный медный (2 тон) кран, и он показывал ВРЕМЯ каждый ЧАС. Такие солнечные часы установили в центре нашего города ",
23,men,们,們,(суффикс множественного числа),суффикс множественного числа личных местоимений и некоторых существительных,человек,дверь,,,,"Худой человечек подошел к двери и жмет на звонок. Он и не ведает, что за дверью прячется множество хитрых и чумазых (4 тон) китайцев. Это суффикс множественного числа. Встречается часто, так что запомнить будет легко. ",
24,nian2,年,,"1. год 
2. возраст",год; годы,тяпка,кол,копье,,,"Сверху тяпка, снизу кол, плюс копье и перемычка получаем новый ГОД.  Красный(2 тон) ГОД календаря.  Этот иероглиф нужно запомнить. Встречается частенько. Он такой один и похожих на него нет. ",
25,sheng1,生,,"1. рождать(ся), родить(ся),  давать рождение, жизнь 
2  расти, вырасти",1) рожать; родить(ся); рождаться; 2) жить; 3) производить,якудза,,,,,"Один японский якудза за один год может НАРОДИТЬ не менее сотни зеленых (1 тон) нинзей-черепашек. Так якудза ДАЕТ РОЖДЕНИЕ новой лучшей ЖИЗНИ. Они РОСЛИ, РОСЛИ и наконец ВЫРОСЛИ.",
26,hui4,会,會,"1. встречать(ся); собираться, собрание, общество
2. возможность; мочь
3. миг","встречать(ся); собираться, собрание, общество; мочь",крыша,копье,мешок,,,"ВСТРЕЧА жителей деревни обсуждает, можно ли положить копье в мешок, ВОЗМОЖНО и только на МИГ, если копье каменное (4 тон).",
27,chu1,出,,выходить; выезжать; выступать (наружу); появляться),перемещать(ся) из (выходить; выезжать; выступать (наружу); появляться),горы,горы,,,,"Если на гору пролить зеленку (1 тон), то из горы ВЫХОДИТ еще одна гора.",1
28,jiu4,就,,"1. именно, как раз 
2. сейчас, немедленно. 
3. тогда, то, в таком случае 
4. только, всего лишь","1) именно, как раз; 2) после, сразу, только",кит. старичок,монах,пчела,,,"Мудрый китайский старичок, старый монах и пчелка. 
У мудрого китайского старичка была своя пасека. Он КАК РАЗ шел покормить пчелок. Вдруг он увидел, что рядом с его пасекой пасется старый и хитрый монах. Мудрый китайский старичок НЕМЕДЛЕННО подошел к старому грязному (4 тон) монаху и тот СРАЗУ ЖЕ, ТОТЧАС ЖЕ выпустил из-за щеки пчелку. Я ПРОСТО, ТОЛЬКО с ней игрался, пытался выкрутиться монах, невинно пуча глаза.",
